num,name,difficulty,length,points,series,part,release_date,members_only
143,Song of the Elves,Grandmaster,Very Long,4,Elf,8,25 July 2019,true
144,The Fremennik Exiles,Master,Medium,2,Fremennik,4,26 September 2019,true
145,Sins of the Father,Master,Long,2,Myreque,5,4 June 2020,true
146,A Porcine of Interest,Novice,Very Short,1,,,10 September 2020,true
147,Getting Ahead,Intermediate,Short,1,Twisted Tales,,25 November 2020,true
149,A Night at the Theatre,Master,Medium,2,,,3 June 2021,true
150,A Kingdom Divided,Experienced,Long,2,Great Kourend,8,16 June 2021,true
151,Land of the Goblins,Experienced,Medium,2,Dorgeshuun,4,9 February 2022,true
152,Temple of the Eye,Intermediate,Short,1,Order of Wizards,3,23 March 2022,true
153,Beneath Cursed Sands,Master,Medium,2,Kharidian,4,27 April 2022,true
154,Sleeping Giants,Intermediate,Short,1,,,8 June 2022,true
155,The Garden of Death,Intermediate,Short,1,Twisted Tales,,30 November 2022,true
156,Secrets of the North,Master,Medium,2,Mahjarrat,12,11 January 2023,true
157,Desert Treasure II - The Fallen Empire,Grandmaster,Very Long,5,Mahjarrat,13,26 July 2023,true
158,The Path of Glouphrie,Experienced,Medium,2,Gnome,3,13 September 2023,true
159,Children of the Sun,Novice,Short,1,Twilight Emissaries,1,10 January 2024,true
160,Defender of Varrock,Experienced,Medium,2,Mahjarrat,6,21 February 2024,true
161,Twilight's Promise,Intermediate,Short,1,Twilight Emissaries,2,20 March 2024,true
162,At First Light,Novice,Short,1,,,20 March 2024,true
163,Perilous Moons,Master,Medium,2,,,20 March 2024,true
164,The Ribbiting Tale of a Lily Pad Labour Dispute,Novice,Very Short,1,,,20 March 2024,true
MQ1,Alfred Grimhand's Barcrawl,Novice,Medium,,,,25 March 2002,true
MQ2,Barbarian Training,Experienced,Medium,,,,3 July 2007,true
MQ3,Bear Your Soul,Intermediate,Short,,Great Kourend,,19 May 2016,true
MQ4,Curse of the Empty Lord,Experienced,Medium,,Mahjarrat,8,26 July 2005,true
MQ5,Daddy's Home,Novice,Short,,,,26 August 2020,true
MQ6,The Enchanted Key,Intermediate,Medium,,,,22 November 2005,true
MQ7,Enter the Abyss,Intermediate,Very Short,,Order of Wizards,2,13 June 2005,true
MQ8,Family Pest,Intermediate,Short,,,,1 September 2016,true
MQ9,The Frozen Door,Master,Short,,,,16 December 2021,true
MQ10,The General's Shadow,Experienced,Medium,,Mahjarrat,9,12 February 2007,true
MQ11,His Faithful Servants,Experienced,Short,,Mahjarrat,11,14 June 2023,true
MQ12,Hopespear's Will,Master,Short,,,,9 February 2022,true
MQ13,In Search of Knowledge,Experienced,Medium,,,,4 July 2019,true
MQ14,Into the Tombs,Master,Medium,,Kharidian,5,24 August 2022,true
MQ15,Lair of Tarn Razorlor,Experienced,Medium,,,,22 January 2007,true
MQ16,Mage Arena I,Experienced,Short,,,,22 September 2003,true
MQ17,Mage Arena II,Master,Medium,,,,23 November 2017,true
MQ18,Skippy and the Mogres,Novice,Very Short,,,,24 October 2005,true
